Company Name,Ticker Symbol,Sector,Total ESG Score,Environmental Score,Social Score,Governance Score,Highest Controversy,Overall Risk,Full-time Employees,Market Cap,Revenue Growth,YTD Return
LKQ Corporation,LKQ,Consumer Discretionary,11.07,3.8,4.0,3.27,2.0,3,49000.0,9587324928,0.004,16.93%
Lilly (Eli),LLY,Health Care,24.28,2.54,12.6,9.14,2.0,5,43000.0,690458853376,0.204,4.30%
Lockheed Martin,LMT,Industrials,30.18,7.96,15.11,7.11,3.0,6,122000.0,115914858496,0.013,-7.68%
Alliant Energy,LNT,Utilities,21.36,8.54,6.55,6.28,0.0,2,3281.0,15126511616,0.004,8.93%
Lowe's,LOW,Consumer Discretionary,11.78,3.31,5.31,3.17,2.0,4,300000.0,139875090432,-0.055,-5.18%
Lam Research,LRCX,Information Technology,13.61,4.5,3.97,5.14,1.0,1,17700.0,92371476480,0.197,0.83%
Lululemon Athletica,LULU,Consumer Discretionary,16.94,1.58,9.86,5.5,2.0,8,38000.0,46207287296,0.073,-26.88%
Southwest Airlines,LUV,Industrials,30.67,11.04,13.69,5.95,2.0,6,73463.0,19959246848,0.053,-6.04%
Las Vegas Sands,LVS,Consumer Discretionary,18.69,2.3,7.72,8.67,2.0,10,38400.0,37882609664,-0.04,-23.77%
LyondellBasell,LYB,Materials,20.69,13.5,2.1,5.09,2.0,1,20000.0,23869638656,-0.029,-5.70%
Mastercard,MA,Financials,17.07,2.15,6.66,8.27,4.0,1,33400.0,484642324480,0.128,4.17%
Mid-America Apartment Communities,MAA,Real Estate,13.09,3.9,2.95,6.25,1.0,5,2427.0,18401249280,0.017,8.35%
Marriott International,MAR,Consumer Discretionary,21.43,8.55,9.16,3.72,3.0,7,411000.0,78910488576,0.066,-14.59%
Masco,MAS,Industrials,22.19,9.73,5.64,6.82,1.0,8,18000.0,16049567744,0.002,-3.76%
McDonald's,MCD,Consumer Discretionary,25.95,7.56,12.56,5.84,3.0,6,100000.0,209740349440,0.027,8.19%
Microchip Technology,MCHP,Information Technology,31.82,15.25,9.16,7.4,1.0,6,22300.0,29809422336,-0.484,-15.43%
McKesson Corporation,MCK,Health Care,15.23,1.65,7.28,6.29,3.0,3,45000.0,73592193024,0.213,18.21%
Moody's Corporation,MCO,Financials,15.82,1.61,6.09,8.12,2.0,3,15776.0,84517085184,0.232,-0.97%
Mondelez International,MDLZ,Consumer Staples,22.02,7.23,9.39,5.41,3.0,5,91000.0,79415713792,0.019,13.26%
Medtronic,MDT,Health Care,22.77,1.78,13.43,7.57,3.0,6,95000.0,103903961088,0.028,10.78%
MetLife,MET,Financials,16.43,0.69,6.96,8.77,2.0,4,45000.0,56335290368,0.162,-0.88%
Meta Platforms,META,Communication Services,34.08,2.71,21.09,10.29,4.0,10,72404.0,1477457739776,0.189,0.08%
MGM Resorts,MGM,Consumer Discretionary,24.76,1.3,12.97,10.49,2.0,1,58000.0,10170798080,0.053,-13.59%
Mohawk Industries,MHK,Consumer Discretionary,14.14,5.75,4.19,4.19,2.0,1,43300.0,7521534464,-0.017,-3.46%
McCormick & Company,MKC,Consumer Staples,26.07,9.63,11.09,5.35,2.0,10,13800.0,21156954112,-0.003,7.88%
Martin Marietta Materials,MLM,Materials,30.12,16.68,4.77,8.67,2.0,8,9400.0,32618119168,-0.053,-6.18%
Marsh McLennan,MMC,Financials,21.07,0.09,11.31,9.67,2.0,1,85000.0,103990173696,0.059,14.87%
3M,MMM,Industrials,37.35,17.22,13.59,6.54,5.0,9,85000.0,70400581632,0.004,14.39%
Monster Beverage,MNST,Consumer Staples,29.23,12.07,12.04,5.11,2.0,9,5254.0,50298736640,0.013,12.33%
Altria,MO,Consumer Staples,31.32,6.1,17.64,7.58,3.0,2,6400.0,91248566272,0.013,12.43%
Mosaic Company (The),MOS,Materials,33.52,13.87,11.05,8.6,2.0,3,14049.0,7645714944,-0.208,9.03%
Marathon Petroleum,MPC,Energy,30.49,17.09,8.15,5.25,3.0,6,18200.0,42866864128,-0.148,5.11%
Merck & Co.,MRK,Health Care,21.39,1.85,10.64,8.9,3.0,4,70000.0,248031199232,0.044,-12.42%
Morgan Stanley,MS,Financials,24.58,1.14,12.91,10.53,2.0,9,80000.0,198866780160,0.165,-7.94%
MSCI,MSCI,Financials,16.27,1.57,6.97,7.74,1.0,4,6118.0,47398957056,0.159,-5.45%
Microsoft,MSFT,Information Technology,15.06,1.46,7.53,6.07,3.0,1,228000.0,3246068596736,0.16,-9.33%
Motorola Solutions,MSI,Information Technology,13.13,2.26,5.07,5.8,1.0,2,21000.0,78536843264,0.092,-5.68%
M&T Bank,MTB,Financials,26.53,2.63,10.32,13.58,1.0,8,21986.0,31438708736,0.012,-6.19%
Mettler Toledo,MTD,Health Care,13.1,1.0,7.41,4.69,0.0,5,16000.0,25971937280,0.013,-5.50%
Micron Technology,MU,Information Technology,18.18,7.23,5.46,5.49,2.0,1,48000.0,100408999936,0.933,5.41%
Norwegian Cruise Line Holdings,NCLH,Consumer Discretionary,25.94,8.97,10.9,6.08,2.0,5,41000.0,11832542208,0.107,-25.92%
"Nasdaq, Inc.",NDAQ,Financials,13.09,0.03,5.63,7.43,1.0,3,9120.0,44658696192,0.311,-1.64%
Nordson Corporation,NDSN,Industrials,24.89,8.18,11.61,5.1,1.0,8,7700.0,11957965824,0.02,-3.96%
NextEra Energy,NEE,Utilities,23.27,9.38,8.3,5.6,2.0,4,16800.0,147382190080,0.055,-1.07%
Newmont,NEM,Materials,20.52,7.05,8.24,5.22,3.0,6,21700.0,43579867136,0.847,29.74%
Netflix,NFLX,Communication Services,16.41,0.09,7.31,9.01,2.0,9,13000.0,388580671488,0.15,4.16%
NiSource,NI,Utilities,26.02,11.98,9.17,4.87,3.0,2,7364.0,16883395584,0.048,9.90%
"Nike, Inc.",NKE,Consumer Discretionary,19.61,2.98,9.99,6.65,3.0,9,79400.0,114525192192,-0.104,-14.42%
Northrop Grumman,NOC,Industrials,27.53,7.79,14.37,5.37,2.0,4,101000.0,68409634816,0.023,9.34%
ServiceNow,NOW,Information Technology,16.59,3.99,6.04,6.57,0.0,5,22668.0,225143422976,0.222,-23.45%
NRG Energy,NRG,Utilities,31.97,16.8,9.5,5.69,2.0,9,18131.0,18322094080,-0.091,9.21%
Norfolk Southern Railway,NSC,Industrials,23.92,8.02,10.48,5.42,3.0,10,20700.0,52974096384,0.027,0.81%
NetApp,NTAP,Information Technology,15.43,2.19,7.74,5.5,1.0,2,11800.0,24081594368,0.076,-22.91%
Northern Trust,NTRS,Financials,23.86,1.87,11.83,10.17,2.0,5,23300.0,20313380864,0.145,-4.44%
Nucor,NUE,Materials,32.82,9.3,14.72,8.8,2.0,7,32000.0,27374499840,-0.152,2.53%
Nvidia,NVDA,Information Technology,13.59,2.3,4.95,6.34,2.0,8,29600.0,3298803056640,1.224,-17.98%
"NVR, Inc.",NVR,Consumer Discretionary,20.27,7.21,7.82,5.24,1.0,9,6300.0,25359060992,0.06,-11.80%
News Corp (Class A),NWSA,Communication Services,11.47,0.02,4.74,6.72,2.0,10,23900.0,16357357568,0.031,-1.96%
NXP Semiconductors,NXPI,Information Technology,19.84,8.58,5.45,5.81,1.0,2,34200.0,53433757696,-0.054,-8.59%
Realty Income,O,Real Estate,15.47,4.41,5.32,5.74,2.0,5,418.0,46202388480,0.286,7.00%
ONEOK,OKE,Energy,25.15,10.83,11.01,3.31,1.0,5,4775.0,58471841792,0.199,-0.90%
Omnicom Group,OMC,Communication Services,16.28,0.09,9.33,6.86,1.0,1,75900.0,17453082624,0.085,-7.29%
ON Semiconductor,ON,Information Technology,22.43,11.79,5.69,4.95,1.0,2,30000.0,27889702912,-0.192,-36.24%
Oracle Corporation,ORCL,Information Technology,13.89,0.5,7.79,5.6,2.0,10,159000.0,474532249600,0.069,-14.82%
O'Reilly Auto Parts,ORLY,Consumer Discretionary,12.05,0.14,8.15,3.76,1.0,9,92709.0,70380068864,0.038,20.75%
Occidental Petroleum,OXY,Energy,41.66,24.98,9.7,6.97,2.0,2,12570.0,44224106496,0.002,-0.45%
Palo Alto Networks,PANW,Information Technology,13.92,0.7,7.62,5.6,1.0,10,15289.0,122565033984,0.121,-5.85%
Paramount Global,PARA,Communication Services,14.99,0.11,7.51,7.37,3.0,10,21900.0,7596251648,-0.056,12.14%
Paychex,PAYX,Industrials,16.73,3.21,7.16,6.36,1.0,4,16000.0,50243190784,0.025,10.25%
Paccar,PCAR,Industrials,27.64,8.36,10.99,8.3,3.0,5,32400.0,55219380224,-0.052,-5.51%
PG&E Corporation,PCG,Utilities,30.38,9.58,15.38,5.42,4.0,4,28010.0,43475365888,0.009,-14.42%
Public Service Enterprise Group,PEG,Utilities,27.23,12.48,9.28,5.46,2.0,3,12543.0,42379018240,0.076,-1.46%
PepsiCo,PEP,Consumer Staples,22.06,7.27,9.63,5.16,3.0,5,318000.0,209626349568,-0.006,-1.57%
Pfizer,PFE,Health Care,24.59,2.12,12.85,9.63,3.0,7,88000.0,149381857280,0.312,-7.50%
Principal Financial Group,PFG,Financials,14.19,0.81,5.82,7.56,1.0,7,19800.0,17680521216,-0.345,10.00%
Procter & Gamble,PG,Consumer Staples,28.57,9.6,12.23,6.74,3.0,4,108000.0,395788025856,-0.006,1.74%
Progressive Corporation,PGR,Financials,20.02,1.45,8.5,10.07,2.0,3,61432.0,140577062912,0.267,18.65%
Parker Hannifin,PH,Industrials,29.48,9.46,13.78,6.24,2.0,6,61120.0,83307585536,0.012,-4.11%
PulteGroup,PHM,Consumer Discretionary,21.42,9.19,7.31,4.92,2.0,5,6382.0,22665662464,0.118,-5.38%
Packaging Corporation of America,PKG,Materials,18.64,13.96,1.06,3.62,1.0,6,14900.0,20473718784,0.127,-11.19%
Prologis,PLD,Real Estate,10.27,2.74,2.5,5.03,1.0,8,2574.0,95692398592,0.068,5.44%
Philip Morris International,PM,Consumer Staples,28.45,3.42,13.54,11.49,3.0,5,82700.0,193140981760,0.084,31.36%
PNC Financial Services,PNC,Financials,26.07,1.94,13.29,10.83,3.0,2,53749.0,76483887104,0.017,-9.44%
Pentair,PNR,Industrials,22.06,5.97,10.01,6.07,1.0,5,10500.0,16845300736,-0.015,-12.52%
Pinnacle West,PNW,Utilities,30.79,14.72,10.23,5.84,1.0,5,6133.0,9659952128,0.08,12.40%
PPG Industries,PPG,Materials,25.21,10.98,7.7,6.54,2.0,6,53000.0,27888719872,-0.015,-8.79%
PPL Corporation,PPL,Utilities,31.32,17.08,8.9,5.33,2.0,2,6629.0,23932366848,0.011,11.09%
Prudential Financial,PRU,Financials,19.91,0.64,10.01,9.25,1.0,4,40366.0,41939349504,1.334,-5.77%
Public Storage,PSA,Real Estate,13.05,4.74,2.61,5.7,1.0,6,6200.0,52116942848,0.034,-0.19%
Phillips 66,PSX,Energy,35.43,20.76,8.82,5.85,3.0,7,14000.0,45581594624,-0.104,9.15%
PTC,PTC,Information Technology,18.9,4.92,8.61,5.37,0.0,5,7000.0,22533797888,0.146,-15.05%
Quanta Services,PWR,Industrials,36.91,12.15,15.73,9.04,2.0,4,52500.0,48477257728,0.155,-18.40%
PayPal,PYPL,Financials,17.77,2.83,9.19,5.75,2.0,8,27200.0,87351312384,0.058,-22.55%
Qualcomm,QCOM,Information Technology,15.39,5.34,4.5,5.55,3.0,2,49000.0,169860792320,0.187,-0.37%
Royal Caribbean Group,RCL,Consumer Discretionary,20.71,8.15,7.68,4.88,3.0,9,98100.0,64107868160,0.175,-9.78%
Regency Centers,REG,Real Estate,11.71,3.72,3.21,4.77,0.0,1,492.0,13476028416,0.089,-0.49%
Regeneron,REGN,Health Care,18.04,0.34,10.96,6.74,2.0,10,14165.0,77126295552,0.106,-13.38%
Regions Financial Corporation,RF,Financials,16.85,1.82,6.67,8.36,2.0,7,20101.0,21603698688,0.156,-8.29%
Ralph Lauren Corporation,RL,Consumer Discretionary,14.62,1.22,7.79,5.62,2.0,10,14800.0,14299996160,0.057,-0.89%
Rockwell Automation,ROK,Industrials,17.67,5.37,6.64,5.65,2.0,9,27000.0,32755834880,-0.206,-9.46%
"Rollins, Inc.",ROL,Industrials,19.31,1.76,10.63,6.92,1.0,9,20000.0,22723590144,0.09,17.28%
Roper Technologies,ROP,Information Technology,20.44,4.67,9.67,6.09,0.0,8,16800.0,56338120704,0.129,13.64%
Ross Stores,ROST,Consumer Discretionary,18.23,1.79,10.76,5.68,2.0,7,108000.0,49208905728,0.071,-14.65%
Republic Services,RSG,Industrials,20.91,11.19,6.02,3.7,3.0,1,41000.0,63798456320,0.065,21.15%
Revvity,RVTY,Health Care,16.7,0.75,10.1,5.85,2.0,8,11000.0,13698777088,0.02,-6.54%
SBA Communications,SBAC,Real Estate,11.58,3.11,3.23,5.23,0.0,7,1787.0,21888458752,-0.022,8.16%
Charles Schwab Corporation,SCHW,Financials,23.28,2.39,8.95,11.94,2.0,10,32100.0,136028905472,0.052,4.95%
Sherwin-Williams,SHW,Materials,29.35,14.31,9.2,5.85,2.0,8,64088.0,87007649792,0.007,3.13%
J.M. Smucker Company (The),SJM,Consumer Staples,30.45,12.89,11.99,5.57,2.0,7,9000.0,11694054400,0.177,7.63%
Schlumberger,SLB,Energy,20.28,8.08,6.29,5.91,1.0,1,111000.0,52009488384,0.102,10.07%
Snap-on,SNA,Industrials,30.53,9.0,13.91,7.62,2.0,5,13200.0,18038120448,-0.005,0.03%
Synopsys,SNPS,Information Technology,14.42,3.34,6.93,4.16,0.0,3,20300.0,76080201728,0.127,-10.18%
Southern Company,SO,Utilities,32.98,14.68,11.0,7.3,2.0,1,27819.0,90788044800,0.042,11.54%
Simon Property Group,SPG,Real Estate,13.98,3.83,3.99,6.15,1.0,10,2500.0,64434921472,0.049,-3.33%
S&P Global,SPGI,Financials,13.04,0.0,6.22,6.82,1.0,3,40450.0,152608636928,0.159,2.56%
Sempra,SRE,Utilities,23.59,10.86,7.85,4.88,2.0,7,16835.0,54985363456,-0.167,-18.42%
Steel Dynamics,STLD,Materials,32.98,10.56,14.36,8.06,1.0,2,12600.0,17613223936,-0.054,8.71%
State Street Corporation,STT,Financials,24.08,1.61,12.95,9.52,1.0,5,53000.0,28787427328,0.201,-9.51%
Seagate Technology,STX,Information Technology,10.66,1.59,3.8,5.26,1.0,6,30000.0,18468683776,0.491,-2.05%
Constellation Brands,STZ,Consumer Staples,24.66,9.45,10.04,5.18,2.0,8,10600.0,41334652928,0.029,-16.38%
Stanley Black & Decker,SWK,Industrials,25.31,5.0,12.51,7.8,2.0,4,50500.0,12641447936,-0.051,-5.17%
Skyworks Solutions,SWKS,Information Technology,27.95,11.82,8.93,7.21,1.0,9,9750.0,14192988160,-0.159,-27.13%
Synchrony Financial,SYF,Financials,17.28,0.13,9.89,7.25,2.0,8,20000.0,25482563584,0.116,-18.06%
Stryker Corporation,SYK,Health Care,28.26,3.99,13.24,11.03,2.0,5,52000.0,138991353856,0.119,3.68%
Sysco,SYY,Consumer Staples,15.95,5.42,6.05,4.47,2.0,6,76000.0,37809664000,0.044,-1.36%
AT&T,T,Communication Services,23.91,3.26,13.94,6.72,3.0,1,143630.0,163237838848,-0.005,25.08%
Molson Coors Beverage Company,TAP,Consumer Staples,21.37,7.25,8.61,5.51,2.0,10,16500.0,12231042048,-0.078,6.84%
TransDigm Group,TDG,Industrials,38.72,12.01,17.71,9.0,2.0,10,16600.0,71758430208,0.18,10.27%
TE Connectivity,TEL,Information Technology,14.8,5.81,4.44,4.55,0.0,5,87000.0,42980601856,0.008,-1.59%
Teradyne,TER,Information Technology,17.03,7.11,4.89,5.03,0.0,1,6400.0,20512342016,0.048,-34.39%
Target Corporation,TGT,Consumer Staples,14.35,1.93,7.55,4.86,3.0,2,415000.0,60245712896,0.027,-22.75%
TJX Companies,TJX,Consumer Discretionary,14.38,1.89,7.65,4.84,2.0,7,349000.0,137147523072,0.056,1.58%
Thermo Fisher Scientific,TMO,Health Care,12.81,1.44,4.89,6.47,3.0,3,122000.0,200449114112,0.002,-7.16%
T-Mobile US,TMUS,Communication Services,24.63,4.19,13.38,7.07,3.0,10,67000.0,255667552256,0.047,21.66%
"Tapestry, Inc.",TPR,Consumer Discretionary,14.84,1.1,8.57,5.18,2.0,6,12500.0,14949259264,-0.004,11.57%
Targa Resources,TRGP,Energy,33.21,14.23,14.75,4.24,2.0,8,3182.0,38551359488,-0.012,13.76%
Trimble Inc.,TRMB,Information Technology,12.41,3.76,3.43,5.23,0.0,2,12700.0,17495060480,-0.085,-7.47%
T. Rowe Price,TROW,Financials,16.91,2.39,8.95,5.57,1.0,6,8104.0,25797103616,0.069,-18.41%
Travelers Companies (The),TRV,Financials,20.33,1.01,9.3,10.02,1.0,9,32967.0,54657093632,0.119,9.82%
Tractor Supply,TSCO,Consumer Discretionary,16.1,3.43,8.19,4.47,2.0,1,50000.0,28803792896,0.016,3.90%
"Tesla, Inc.",TSLA,Consumer Discretionary,25.23,3.31,14.08,7.85,3.0,10,140473.0,1351627833344,0.078,-33.52%
Tyson Foods,TSN,Consumer Staples,35.92,14.02,12.39,9.51,4.0,10,138000.0,20665157632,0.016,9.87%
Trane Technologies,TT,Industrials,15.2,4.39,5.71,5.11,2.0,5,40000.0,84858798080,0.114,-7.50%
Texas Instruments,TXN,Information Technology,20.65,7.76,5.96,6.93,2.0,8,34000.0,170465984512,-0.084,-5.08%
Textron,TXT,Industrials,33.61,10.92,16.08,6.61,2.0,4,35000.0,14256596992,0.025,-5.66%
United Airlines Holdings,UAL,Industrials,28.61,10.78,12.79,5.04,2.0,9,106500.0,32032522240,0.025,-29.76%
"UDR, Inc.",UDR,Real Estate,13.92,3.72,3.91,6.29,1.0,9,1397.0,16326182912,0.006,4.05%
Universal Health Services,UHS,Health Care,32.98,3.7,20.68,8.6,3.0,10,96700.0,11881064448,0.112,4.68%
Ulta Beauty,ULTA,Consumer Discretionary,15.61,4.08,7.25,4.28,2.0,3,20000.0,19940638720,0.009,-14.03%
UnitedHealth Group,UNH,Health Care,15.3,0.03,9.67,5.59,3.0,2,440000.0,460261654528,0.092,3.41%
Union Pacific Corporation,UNP,Industrials,23.45,7.3,10.55,5.6,2.0,1,30518.0,137208094720,0.025,4.00%
United Parcel Service,UPS,Industrials,18.57,4.17,8.91,5.49,2.0,9,500000.0,107251539968,0.056,-13.35%
United Rentals,URI,Industrials,16.86,5.32,6.13,5.42,1.0,1,26300.0,47421370368,0.06,-10.28%
U.S. Bank,USB,Financials,30.26,1.75,15.5,13.01,3.0,1,70000.0,74756628480,-0.032,-12.67%
Valero Energy,VLO,Energy,32.56,20.15,7.42,4.99,2.0,5,9886.0,37543813120,-0.152,9.10%
Vulcan Materials Company,VMC,Materials,29.28,13.42,6.81,9.05,2.0,6,10961.0,34749210624,-0.083,-7.76%
Verisk,VRSK,Industrials,17.53,0.05,12.49,4.98,1.0,5,7500.0,39095676928,0.07,8.42%
Verisign,VRSN,Information Technology,21.3,4.74,10.77,5.79,1.0,4,907.0,19108524032,0.038,23.20%
Vertex Pharmaceuticals,VRTX,Health Care,22.72,0.75,15.4,6.57,2.0,8,5400.0,102308536320,0.116,20.37%
Ventas,VTR,Real Estate,12.86,3.42,3.89,5.56,0.0,3,486.0,24650465280,0.08,17.63%
Wabtec,WAB,Industrials,23.33,5.36,11.99,5.98,2.0,5,29000.0,33179926528,0.044,-3.13%
Waters Corporation,WAT,Health Care,14.62,1.35,8.19,5.09,0.0,7,7900.0,21859942400,0.04,-4.04%
Walgreens Boots Alliance,WBA,Consumer Staples,16.25,1.79,9.29,5.18,3.0,7,193000.0,8246310400,0.06,19.61%
WEC Energy Group,WEC,Utilities,27.46,13.36,8.96,5.13,1.0,4,7000.0,29895450624,-0.048,15.79%
Welltower,WELL,Real Estate,13.23,4.24,3.49,5.5,1.0,3,533.0,77612081152,0.288,22.31%
Wells Fargo,WFC,Financials,36.24,2.05,14.75,19.43,5.0,5,220167.0,234196303872,-0.018,1.52%
Waste Management,WM,Industrials,16.65,8.09,5.24,3.32,2.0,1,48000.0,82613166080,0.079,15.86%
Williams Companies,WMB,Energy,21.82,8.72,10.13,2.96,2.0,3,5601.0,65204850688,0.045,11.92%
Walmart,WMT,Consumer Staples,25.26,5.86,12.36,7.05,3.0,3,2100000.0,740999888896,0.048,-1.68%
W. R. Berkley Corporation,WRB,Financials,21.83,1.97,7.95,11.91,1.0,9,8329.0,22319210496,0.122,20.04%
Willis Towers Watson,WTW,Financials,18.66,0.07,7.83,10.76,2.0,7,48000.0,31987238912,0.057,7.59%
Weyerhaeuser,WY,Real Estate,16.68,9.05,4.18,3.45,2.0,3,9300.0,19981004800,-0.169,3.52%
Wynn Resorts,WYNN,Consumer Discretionary,25.7,3.37,11.75,10.58,2.0,8,27800.0,9768043520,0.013,-3.98%
Xcel Energy,XEL,Utilities,26.45,12.7,9.26,4.49,2.0,2,11311.0,38703910912,-0.005,4.74%
ExxonMobil,XOM,Energy,41.6,23.11,10.01,8.48,3.0,7,62000.0,465308188672,-0.015,10.66%
Xylem Inc.,XYL,Industrials,18.13,4.27,8.66,5.19,1.0,3,23000.0,28458575872,0.013,3.33%
Yum! Brands,YUM,Consumer Discretionary,20.1,4.53,11.45,4.12,2.0,2,35000.0,36937969664,0.069,18.46%
Zimmer Biomet,ZBH,Health Care,26.02,3.6,14.52,7.89,2.0,2,18000.0,21324808192,0.04,6.38%
Zoetis,ZTS,Health Care,18.77,3.24,6.81,8.72,2.0,3,14100.0,74370031616,0.11,-0.63%
